	{華中}
㻌	王人一木
㻍	王口㇉大
㻍	王口一大
㻐	王厶儿夊
㻐	王厶八夊
㻔	王千艹二
㻔	王千龷一
㻕	王尸屮凵
㻙	王七丶月
㻙	王亠厶月
㻛	王日勹𰀪
㻜	王人人龰
㻝	王木口刂
㻟	王𠂇工⺼
㻟	王𠂇工月
㻢	王方𠂉也
㻤	王艹勹口
㻧	王夕ヰ木
㻨	臣又丶丶
㻩	王䒑彐八
㻫	王日龷十
㻫	王田龷十
㻬	王雨一丂
㻭	王亠幺十
㻯	王虍丿𬺰
㻰	王丰丰彐
㻱	王夊丰辶
㻲	王口十女
㻳	王艹禾刂
㻴	王冂二又
㻴	王日罒又
㻵	王尸子子
㻶	王⺮彐𰀁
㻷	王木冂冂
㻸	王匚儿日
㻹	石豕王丶
㻺	厂禾禾丶
㻿	王罒勹虫
㼀	王土羊辶
㼁	王⺷丿戈
㼂	丂丿𦥑丶
㼂	𦥑丂丨丶
㼄	王幺幺田
㼅	王广卄八
㼅	王广龷八
㼆	王火火丶
㼈	王罒糹隹
㼎	瓜亠八乂
㼑	木囗丷瓜
㼒	瓜日一𰀪
㼓	瓜䒑彐八
㼔	囗人皿瓜
㼖	瓜彑𧰨虫
㼦	工几丶瓦
㼨	人一乛瓦
㼨	人丶乛瓦
㼪	大人人瓦
㼭	土⺊口瓦
㼮	一肀女瓦
㼮	十彐女瓦
㼱	丬匕冖瓦
㼳	小丿目瓦
㼵	日一龰瓦
㼶	人一月瓦
㼸	穴人口瓦
㼹	艹亡𫶧瓦
㼺	广肀口瓦
㼻	彳人人瓦
㼽	大乂乂瓦
㽀	丷酉大瓦
㽁	厂禾禾瓦
㽂	合习习瓦
㽃	丿米田瓦
㽅	癶一口瓦
㽇	乂乂𦥑瓦
㽇	𦥑乂乂瓦
㽈	匕矢マ瓦
㽊	言火火瓦
㽋	言糹糹瓦
㽌	雨卯田瓦
㽎	其乚冖儿
㽏	氵合卄二
㽐	卄二䒑八
㽑	卄二覀早
㽝	一夕刂田
㽠	田大人人
㽣	田戈口一
㽥	田予丿木
㽦	火火冖田
㽧	田䒑幺幺
㽧	田艹幺幺
㽩	田厶厶彡
㽬	一口田田
㽮	田田田生
㽯	田山隹口
㽰	月月乛龰
㽺	疒丿乛又
㾅	疒丿㇉丿
㾉	疒人一マ
㾉	疒人丶マ
㾐	疒一夕刂
㾘	疒一日乂
㾙	疒乂𠂇巾
㾚	疒止匕二
㾛	疒彐冖又
㾜	疒大人人
㾡	疒土厶卩
㾥	疒上小又
㾨	疒大丁口
㾩	疒千丬匕
㾪	疒小丿目
㾬	疒匕匕白
㾱	疒癶二儿
㾲	疒士方夊
㾲	疒龶勹夊
㾳	疒二欠女
㾳	疒冫欠女
㾹	疒止匕木
㾻	疒阝人木
㾾	疒䒑彐八
㾿	疒丶彐阝
㿀	疒王リ王
㿁	疒白大十
㿂	疒山王夊
㿃	疒卌一巾
㿄	疒匚矢殳
㿅	疒彳止龰
㿆	疒禾亠𧘇
㿇	疒习习白
㿉	疒口丄貝
㿊	疒匚儿日
㿋	疒口口木
㿍	疒⺈⺆牛
㿍	疒⺈用牛
㿎	疒十廾貝
㿏	疒彐丿羊
㿐	疒走夕夕
㿑	疒习习隹
㿒	疒士乛寸
㿓	疒大人足
㿔	疒田田田
㿕	疒門⺈臼
㿖	疒虍田皿
㿗	疒禾儿頁
㿗	疒禾几頁
㿘	疒火火口
㿙	疒罒罒大
㿚	疒罒糹隹
㿣	白日勹乚
㿦	士𠃜殳白
㿧	白士乛寸
㿨	白厂禾止
㿰	亠八乂皮
㿲	大丁口皮
㿶	亠丷冖皮
㿸	皮冂二又
㿸	皮日罒又
㿹	皮土羊辶
㿺	日龷八皮
䀄	宀心丿皿
䀆	肀一火皿
䀈	彐厶匚皿
䀉	夭口冂皿
䀊	氵习习皿
䀋	土𠂉鹵皿
䀌	彐𰀁丆皿
䀍	立早夊皿
䀰	目八人口
䀴	目一巛工
䀷	目土厶力
䀹	目大人人
䀺	亻丨夊目
䀽	目丿止廴
䁇	宀心丿目
䁊	目又丶目
䁍	目戊一口
䁐	目艹冂大
䁑	目日一𰀪
䁓	目乂凵夊
䁔	目爫干又
䁕	目巳七日
䁗	目山一䒑
䁙	目日宀女
䁜	目日⺌兀
䁝	火火冖目
䁞	人人人目
䁠	目䒑彐八
䁢	目方𠂉龰
䁤	目亠丷古
䁥	目匚艹口
䁧	目卄一夫
䁭	目犬犬犬
䁮	目匚儿日
䁯	目合习习
䁱	目土土兀
䁳	目艹犬廾
䁴	目亠囗一
䁵	目罒一𧘇
䁶	目白方夊
䁷	乂乂𦥑目
䁷	𦥑乂乂目
䁹	目尸口辛
䁺	目罒土𢆉
䁻	目白幺木
䁾	目卝罒丶
䁾	目艹罒丶
䂀	目⺷禾丂
䂁	目⺈口丶
䂂	目目目隹
䂃	目爫罒寸
䂄	目目目又
䂅	目言糹虫
䂆	予丿勹丶
䂉	予丿亻矢
䂊	予丿⺈𧰨
䂋	古ヰ予木
䂌	予丿立里
䂍	予丿日水
䂎	予丿⺧貝
䂬	工几丶石
䂭	石亠八乂
䂱	石丷口儿
䂱	石八口儿
䂲	土厶力石
䂳	石人人土
䂶	石土厶力
䂷	石千丬匕
䂸	石戈口一
䂼	石人一心
䂼	石人丶心
䃀	石一肀女
䃀	石十彐女
䃂	石日匕匕
䃃	石冂䒑亡
䃅	石丷日十
䃈	石匕匕白
䃉	石巳七日
䃋	石人一刂
䃎	石大夕夕
䃒	石一口丨
䃓	石𠀎冂土
䃔	石宀口口
䃕	火火冖石
䃗	石彐水刂
䃘	石臣又土
䃚	石方𠂉矢
䃜	匚矢殳石
䃝	石耂子夊
䃟	石龷⺼夊
䃟	石龷月夊
䃠	石方𠂉龰
䃡	石匚儿日
䃤	石肀片一
䃧	阝夊一石
䃨	石弓口虫
䃪	石亠囗一
䃫	石⺈厂言
䃭	石戊一心
䃮	石土羊辶
䃯	石白冫木
䃱	石十戈一
䃲	石舟殳皿
䃴	石言耂日
䃵	石亠馬𧘇
䃶	石亠罒𧘇
䃸	石人人一
䃹	石門木丷
䃻	石雨革月
䄈	示一口䒑
䄉	示丿扌戈
䄌	示又又又
䄎	示大丁口
䄐	屮凵示巳
䄒	示人一心
䄒	示人丶心
䄖	示人一刂
䄗	示片爿一
䄘	示亠丷方
䄙	示冖日八
䄛	示口十女
䄜	示文凵厶
䄟	毛毛毛示
䄠	示亠囗一
䄡	示⺈厂言
䄢	示亠丷二
䄣	示士罒貝
䄤	示木口貝
䄥	示雨口人
䄼	禾一囗人
䅀	禾一夕刂
䅃	工几丶禾
䅄	禾力力力
䅊	禾广丿七
䅋	禾⺈口儿
䅓	禾勹口又
䅙	禾日匕匕
䅚	禾丷夫㔾
䅜	禾千艹二
䅜	禾千龷一
䅞	禾日一寸
䅟	禾厶大彡
䅠	禾日一龰
䅥	禾日勹乚
䅩	禾十又八
䅪	禾口丄贝
䅫	禾亠日小
䅬	禾䒑八皿
䅭	禾亠丷方
䅮	禾人一口
䅮	禾人丶口
䅯	禾广肀口
䅰	禾囗大心
䅱	禾山一䒑
䅲	禾耂匕日
䅳	禾勹屮屮
䅴	禾十冖糸
䅷	禾艹人木
䅹	禾口十女
䅻	禾文凵厶
䅼	禾冂二又
䅼	禾日罒又
䅽	士𠃜殳禾
䅾	禾匚儿日
䅿	禾艹一𰀁
䆁	禾罒土𢆉
䆂	禾广䒑八
䆃	䒑自辶禾
䆄	禾亠囗一
䆅	禾二欠貝
䆅	禾冫欠貝
䆆	禾口口木
䆈	禾尸水辶
䆉	禾罒厶匕
䆊	禾丬匕八
䆌	禾禾尤言
䆎	禾人人一
䆏	禾米田八
䆐	𡗗禾𡗗禾
䆚	穴冂一口
䆛	穴口丿七
䆢	穴扌ユ人
䆨	穴日一大
䆪	⺌兀穴工
䆫	穴勹𰀪心
䆮	穴氵彐又
䆯	穴又又女
䆰	穴匚口口
䆱	穴氵火火
䆴	穴⺈日电
䆷	穴予丿口
䆸	穴癶一䒑
䆺	穴丿米田
䆻	穴丅耳夊
䆻	穴乛耳夊
䆾	穴臣𠂉皿
䆿	穴爿自木
䇒	彐厶匚立
䇤	⺮一冂人
䇧	⺮一囗人
䇰	⺮乛水一
䇶	⺮⺈⺆土
䇷	⺮口力刂
䇷	⺮口勹刂
䇹	⺮彐丿口
䇺	⺮一口䒑
䈁	⺮人一冊
䈃	⺮氵刀口
䈄	⺮乛水凵
䈅	⺮戈口一
䈊	⺮土儿夊
䈊	⺮土八夊
䈏	⺮一口田
䈐	⺮忄𠂇火
䈒	⺮十冂𢆉
䈓	⺮日勹乚
䈔	⺮尸二又
䈕	⺮日一龰
䈖	⺮禾⺀十
䈗	⺮亻厶夊
䈘	⺮䒑幺幺
䈚	⺮厶口心
䈛	⺮⺊冊又
䈜	⺮亻彐又
䈝	⺮乛龰⺼
䈝	⺮乛龰月
䈠	⺮爫干又
䈡	⺮勹𰀪心
䈢	⺮厶口木
䈤	⺮木卄二
䈥	⺮⺈⺆力
䈥	⺮⺈用力
䈦	⺮乂凵夊
䈩	⺮人一刂
䈪	⺮一口丨
䈫	⺮糹冂人
䈫	⺮糹冂入
䈮	⺮立勹口
䈰	⺮扌⺌⺼
䈰	⺮扌⺌月
䈳	⺮冂二习
䈳	⺮日习习
䈴	⺮䒑彐八
䈵	⺮八厶习
䈶	⺮穴人口
䈷	⺮木夊口
䈸	⺮⺈⺆十
䈸	⺮⺈用十
䈹	⺮宀亻日
䈺	⺮糹夊⺀
䈼	⺮宀心山
䈾	⺮木⺌⺼
䈾	⺮木⺌月
䈿	⺮冖日八
䈿	⺮宀日八
䉀	⺮广卄灬
䉁	⺮耳人マ
䉃	⺮爿𱼀寸
䉄	⺮阝土夊
䉅	⺮土𢆉丶
䉇	⺮其乚刂
䉈	⺮龷⺼夊
䉈	⺮龷月夊
䉉	⺮⺈⺆瓜
䉉	⺮⺈用瓜
䉊	⺮厶大車
䉋	⺮女𠃜目
䉌	⺮阝䒑𧰨
䉏	⺮⺈⺆牛
䉏	⺮⺈用牛
䉑	⺮𠂉卌灬
䉒	⺮丿米田
䉓	⺮木日木
䉔	⺮一夕戈
䉖	⺮車人マ
䉗	⺮扌口耳
䉘	⺮木宀示
䉙	⺮雨二厶
䉚	⺮罒冖瓦
䉛	⺮𰃦丿大
䉛	⺮𰃦米大
䉝	⺮⺷丿戈
䉞	⺮戊一心
䉟	⺮扌隹又
䉡	⺮亠囗一
䉢	⺮土人口
䉣	⺮臼勹灬
䉤	⺮米女夊
䉦	⺮覀大辶
䉧	⺮卯金刂
䉨	⺮立𧰨殳
䉩	⺮木匚口
䉪	⺮田田田
䉫	⺮禾勹水
䉬	⺮广癶殳
䉯	⺮臣又貝
䉰	⺮骨亠乂
䉱	⺮衤匚口
䉲	⺮弓一乂
䉵	⺮目大食
䉶	⺮隹隹又
䉷	⺮口口夊
䉸	⺮辛言辛
䉹	⺮雨口人
䉿	米丿丷𬺰
䊃	米几一巾
䊄	工几丶米
䊌	米广匕匕
䊍	禾勹丿米
䊎	米丷夫㔾
䊐	米日匕匕
䊓	米日一龰
䊔	米艹冂大
䊕	米彐𰀁廴
䊖	米十冂𢆉
䊙	石一廾米
䊛	米乂木殳
䊝	米丿米心
䊞	米亠丷古
䊟	米卄一入
䊠	彐厶匚米
䊡	米冂二又
䊡	米日罒又
䊢	爿𱼀寸米
䊣	米卄二八
䊣	米龷由八
䊥	米肀片一
䊦	米士冖䒑
䊨	亡口月几
䊩	米丿米田
䊬	禾日木米
䊭	米士乛寸
䊮	米习习隹
䊯	米广卄八
䊯	米广龷八
䊰	米言耂日
䊱	米人人一
䊲	覀米文生
䊲	覀米立生
䋑	糹一冂人
䋞	糹冂乂乂
䋡	糹人一木
䋤	龶糸勹丶
䋪	糹阝丁口
䋫	糹⺈彐亅
䋫	糹爫彐亅
䋬	糹一大丶
䋭	糹七丶月
䋭	糹亠厶月
䋳	糹丬匕⺼
䋳	糹丬匕月
䋴	糹予丿木
䋵	糹日勹乚
䋷	予丿夊糸
䋸	糹⺁十目
䋹	糹一口田
䋻	糹十冂𢆉
䋼	糹乃又皿
䋽	糹土土寸
䋾	糹大夕夕
䌀	糹禾⺀十
䌃	糹⺌⺼刂
䌃	糹⺌月刂
䌄	糹一冂又
䌅	糹广肀口
䌇	糹十冖糸
䌈	糹冂二习
䌈	糹日习习
䌌	糹习习白
䌎	田夊口糸
䌏	糹宀心山
䌑	糹臣又土
䌓	𠂉母殳糸
䌔	糹匚口口
䌗	糹𠂉卌灬
䌘	丷巾八糸
䌙	糹卄二八
䌙	糹龷由八
䌛	𱼀言丿糸
䌜	糹业羊八
䌝	糹木木示
䌟	糹尸口辛
䌠	戊一口糸
䌡	糹曲一䒑
䌢	糹雨人マ
䌣	糹⺮宀コ
䌤	糹一八乂
䌥	糹爫工心
䌦	糹习习隹
䌧	糹士乛寸
䌩	糹卝罒丶
䌩	糹艹罒丶
䌪	糹門⺈臼
䌫	糹臣𠂉見
䌭	糹艹隹灬
䌮	糹雨木目
䌯	糹卝口隹
䌯	糹艹口隹
䌰	糹耳耳耳
䌲	糹艹千黑
䌳	糹一八丶
䌵	糹尸水虫
䌸	纟二㇉丶
䌼	纟丷口儿
䌾	纟十冂𢆉
䌿	纟一口田
䍁	纟䒑𧰨辶
䍅	缶人一マ
䍅	缶人丶マ
䍊	缶亠八乂
䍋	缶千艹二
䍋	缶千龷一
䍑	冂乂乂干
䍙	冂乂乂母
䍞	冂乂乂一
䍟	罒乂凵夊
䍠	罒文凵厶
䍢	罒𠂉卌灬
䍤	罒亠丷二
䍥	罒厂禾止
䍦	罒文凵隹
䍯	羊⺈厂㔾
䍱	羊人一木
䍳	羊又又又
䍵	羊⺈彐亅
䍵	羊爫彐亅
䍷	羊𫝀口ヰ
䍺	羊口口心
䍻	羊巳巳八
䍼	羊匚儿日
䍽	羊厂禾止
䍾	一廾习习
䎀	习习戈乚
䎂	习习勹巳
䎃	冂土习习
䎄	刀口习习
䎆	习习人マ
䎈	习习电丿
䎉	习习戊一
䎊	夊口习习
䎋	⺧口习习
䎎	习习耳乚
䎏	人一乛习
䎏	人丶乛习
䎐	十早习习
䎑	习习彐水
䎑	习习彑水
䎒	习习戈戈
䎓	习习水日
䎔	习习甫寸
䎕	火火冖习
䎗	夭口冂习
䎘	肀片爿习
䎙	宀一𣥂习
䎚	习习丰心
䎜	耂匕耂匕
䎝	耂匕习习
䎢	丰八𠂉乙
䎣	丰八乚人
䎤	丰八尸口
䎥	丰八八口
䎦	丰八火火
䎧	丰八立口
䎨	丰八大电
䎩	丰八巛田
䎪	丰八日寸
䎫	丰八乂夊
䎬	丰八罒厶
䎭	丰八⺧辶
䎮	丰八亠古
䎯	丰八卄夫
䎰	丰八龷斤
䎱	丰八罒匕
䎸	耳一𫝀口
䎺	耳牛冂刂
䎻	耳⺆土口
䎾	耳人一冊
䏀	耳木口刂
䏂	耳臼丨又
䏂	耳𦥑丨又
䏃	耳冖日八
䏉	耳日幺灬
䏋	肀八心巳
䏑	𱼀冂人人
䏜	⺼丿乛又
䏝	月二㇉丶
䏤	⺼㇆一口
䏤	月㇆一口
䏰	⺼刀丶心
䏰	月刀丶心
䏱	⺼尸㇆口
䏱	月尸㇆口
䏲	⺼丷弓丿
䏲	月丷弓丿
䏶	⺼匕匕土
䏶	月匕匕土
䏸	⺼一𫝀口
䏸	月一𫝀口
䏻	厶⺼土厶
䏻	厶月土厶
䐀	⺼大丁口
䐀	月大丁口
䐇	⺼勹𰀪日
䐇	月勹𰀪日
䐊	⺼日匕匕
䐊	月日匕匕
䐋	⺼八厶心
䐋	月八厶心
䐌	冂龷八⺼
䐌	冂龷八月
䐎	⺼日一龰
䐎	月日一龰
䐒	⺼大夕夕
䐒	月大夕夕
䐗	⺼耂日丶
䐘	⺼爫干又
䐘	月爫干又
䐚	⺼彐厶卩
䐚	月彐厶卩
䐞	⺼弓冫冫
䐞	月弓冫冫
䐟	⺼𠀎冂土
䐟	月𠀎冂土
䐠	⺼艹亡𫶧
䐠	月艹亡𫶧
䐡	亠丷丨人
䐢	⺼勹屮屮
䐢	月勹屮屮
䐥	⺼八厶习
䐥	月八厶习
䐦	⺼土厶皿
䐦	月土厶皿
䐩	⺼山一䒑
䐩	月山一䒑
䐫	⺼彳人龰
䐫	月彳人龰
䐭	⺼卌一巾
䐭	月卌一巾
䐮	⺼文厂生
䐮	月立丿生
䐰	⺼亻丨⺼
䐰	月亻丨月
䐱	⺼亠丷古
䐱	月亠丷古
䐲	⺼习习白
䐲	月习习白
䐴	彐厶匚⺼
䐴	彐厶匚月
䐵	⺼卄二八
䐵	月龷由八
䐶	⺼匚儿日
䐶	月匚儿日
䐷	⺼口口十
䐷	月口口十
䐸	⺼彐土一
䐸	月彐土一
䐹	⺼肀片一
䐹	月肀片一
䐼	⺼丰刀糸
䐼	月丰刀糸
䐽	⺼卄一入
䐽	月卄一入
䐾	⺼罒土𢆉
䐾	月罒土𢆉
䐿	⺼𰃦丿大
䐿	月𰃦米大
䑀	⺼尸口辛
䑀	月尸口辛
䑁	乂乂𦥑⺼
䑁	𦥑乂乂月
䑂	⺼丂丿八
䑂	月𦥑丂八
䑃	⺼艹冖豕
䑄	⺼自田丌
䑄	月自田丌
䑅	⺼卝罒夕
䑅	月艹罒夕
䑆	⺼⺷八艮
䑆	月䒑夫艮
䑇	⺼斤斤貝
䑇	月斤斤貝
䑈	⺼白幺木
䑈	月白幺木
䑊	⺼口丄辶
䑊	月口丄辶
䑌	⺼門木丷
䑌	月門木丷
䑍	⺼貝貝女
䑍	月貝貝女
䑎	⺼人人一
䑎	月人人一
䑏	⺼卝口隹
䑏	月艹口隹
䑑	臣业䒑夫
䑓	卄二冖至
䑖	臼一彐龰
䑗	臼日一𰀪
䑝	口口冖ヰ
䑞	匚火火ヰ
䑟	爫冖夕王
䑤	舟人一乛
䑤	舟人丶乛
䑥	舟丿乛又
䑯	舟丷弓丿
䑱	舟宀夕㔾
䑳	舟人一冊
䑵	舟冂二月
䑹	舟宀火又
䑻	舟方𠂉子
䑼	舟勹屮屮
䑽	舟冂二习
䑽	舟日习习
䑿	舟宀亻日
䒀	舟⺮亻寸
䒁	舟习习白
䒂	舟爿𱼀寸
䒃	舟⺧口辶
䒄	舟冖一田
䒅	舟丷夫目
䒆	舟七丶夊
䒆	舟亠厶夊
䒇	舟宀一田
䒈	舟十廾貝
䒉	舟𠂉卌ヰ
䒊	八丂⺈巴
䒋	冂大⺈巴
䒌	冖日亠巴
䒍	亠丷冖巴
䒎	艹犬廾巴
䒐	卝罒冖巴
䒐	艹罒冖巴
䒮	艹冖几丶
䒯	艹冖九丶
䒱	艹乛水一
䒲	艹女丿七
䒽	艹冂乂乂
䓊	艹一𫝀口
䓎	艹火勹丶
䓐	艹大七凵
䓑	艹氵一廾
䓕	艹一兀辶
䓗	艹八厶心
䓘	艹夊人口
䓘	艹夊卜口
䓙	艹千丬匕
䓛	艹尸屮凵
䓟	艹⺆土口
䓣	艹一巾入
䓤	艹勹𰀪心
䓦	艹冂龷八
䓧	艹丂口一
䓧	艹了口一
䓩	艹木十又
䓪	艹日勹𰀪
䓫	艹大丁口
䓭	艹乂木刂
䓮	艹予丿夊
䓱	艹止匕木
䓲	艹亻丷儿
䓲	艹亻八儿
䓵	艹口口口
䓶	艹木口刂
䓷	艹氵彳亍
䓸	艹女女干
䓻	艹冖一女
䓼	艹女尤彡
䓾	艹氵小女
䓿	艹マ囗𢆉
䔀	艹亻禾女
䔅	艹丅口口
䔇	艹山一䒑
䔊	艹王䒑廾
䔋	艹糹小丿
䔌	艹白大十
䔎	艹木口辶
䔏	艹⺧口辶
䔐	艹氵戈戈
䔑	艹人一十
䔒	艹阝立口
䔓	艹言𠂉十
䔔	艹立日儿
䔖	艹阝土夊
䔙	艹金勹丶
䔜	艹耳冂土
䔝	艹止匕糸
䔞	艹亠幺十
䔟	艹禾夕夕
䔠	艹木⺌⺼
䔠	艹木⺌月
䔢	艹人人丂
䔣	艹禾刂牛
䔤	艹白丆日
䔦	艹木𠂉母
䔧	艹禾刂木
䔩	艹木口夊
䔪	艹大乂乂
䔪	艹大人人
䔫	艹乛止冂
䔬	艹田龷八
䔭	艹宀心用
䔰	艹宀一田
䔱	艹扌口耳
䔲	艹癶一䒑
䔳	艹𱼀犬灬
䔴	艹屮凵又
䔶	艹扌日龰
䔷	艹王王乛
䔸	艹犬犬犬
䔹	艹阝䒑𧰨
䔺	艹阝𠂇⺼
䔺	艹阝𠂇月
䔼	艹刀丶止
䔽	艹氵日乚
䔾	艹扌日乚
䔿	艹丷酉寸
䕀	艹士示欠
䕂	艹厶口辶
䕃	艹阝人镸
䕄	艹乛水皿
䕅	艹女臼又
䕅	艹女𦥑又
䕆	艹木人刂
䕈	艹片世木
䕉	艹罒土𢆉
䕊	艹亠囗一
䕋	艹土广口
䕍	艹亠𧘇口
䕎	艹日一田
䕏	艹⺷丿戈
䕐	艹示一田
䕑	艹糹爫女
䕒	艹壴力口
䕔	艹彳金亍
䕕	艹氵冂又
䕕	艹氵日又
䕖	艹子丿辶
䕗	艹自田丌
䕘	艹人一頁
䕘	艹人丶頁
䕙	艹十戈隹
䕚	艹匚口貝
䕛	艹言大人
䕜	艹习习十
䕝	艹禾一土
䕝	艹禾爫土
䕞	艹門丶艮
䕟	艹冂一八
䕟	艹𦥑冂八
䕠	艹广癶殳
䕡	艹門口口
䕢	艹石⺶工
䕣	艹衤日乚
䕤	艹口口阝
䕥	艹八八乂
䕧	艹骨亠乂
䕨	艹月丷糸
䕩	艹木大小
䕪	艹氵罒𢆉
䕫	艹白止夊
䕬	艹弓一一
䕭	艹土儿火
䕭	艹土八火
䕮	艹土𢆉米
䕯	艹覀示瓜
䕰	艹火丿田
䕱	艹一口頁
䕲	艹广亠示
䕳	艹弓一乂
䕴	艹禾隹灬
䕵	艹士口鳥
䕶	艹言隹又
䕸	艹黑士口
䕹	艹亠人隹
䕺	艹业𢆉又
䕼	艹卄一隹
䕽	艹足罒虫
䕾	艹口口夊
䕿	艹卄一鳥
䖀	艹口口口
䖁	艹禺立心
䖂	艹言糹手
䖃	艹𠂇口口
䖄	艹卄一灬
䖅	艹雨口人
䖇	艹木缶彡
䖇	艹缶木彡
䖏	虍勹𰀪丶
䖒	虍一口䒑
䖗	虍戊一口
䖘	虎⺈口丶
䖙	臣卜⺁虎
䖛	虎十冖糸
䖳	虫宀丿七
䖷	虫乂𠂇巾
䖸	丿扌戈虫
䖺	亻丨夊虫
䖻	虫亠厶𫶧
䖼	虫土厶卩
䖾	虫宀一兀
䖿	禾勹丿虫
䗀	虫土儿夊
䗀	虫土八夊
䗁	虫大丁口
䗄	虫八乂斤
䗆	虫宀尸コ
䗋	虫卄二木
䗏	虫宀火又
䗐	方𠂉也虫
䗓	虫勹𰀪心
䗔	虫亻ユ矢
䗕	宀夕㔾虫
䗖	虫卅冖巾
䗗	虫⺮一廾
䗘	虫土厶皿
䗙	宀𠀎八虫
䗛	虫亻丨⺼
䗛	虫亻丨月
䗞	一大虫虫
䗟	匚矢殳虫
䗠	方𠂉乛虫
䗡	虫正丂灬
䗢	虫⺧口辶
䗣	卄二虫虫
䗤	虫广肀月
䗥	虫彳人龰
䗦	虫夊丰辶
䗩	虫戊上小
䗪	广卄一虫
䗬	夊丰辶虫
䗭	虫口口心
䗮	虫大乂乂
䗱	虫业䒑夫
䗲	虫米夕ヰ
䗳	虫癶一䒑
䗴	虫⺮壬廴
䗵	虫一田一
䗶	虫艹日乚
䗷	虫立日心
䗹	虫䒑幺心
䗺	丿止廴虫
䗻	虫⺮彐卩
䗾	虫日幺灬
䗿	虫宀心丁
䘀	𠂤十虫虫
䘁	十戈隹虫
䘂	虫十戈一
䘄	耂日虫虫
䘅	厶⺼匕虫
䘅	厶月匕虫
䘆	虫宀丰心
䘆	虫宀龶心
䘇	文虫虫虫
䘈	虫厂艹力
䘉	一大虫虫
䘊	虫⺮罒丶
䘋	虫人人一
䘌	匚艹𠂇虫
䘍	艹禺虫虫
䘎	虫言糹弓
䘐	丿皿刀八
䘑	丿皿丶水
䘒	丿皿厶夊
䘓	丿皿⺈臼
䘔	丿皿宀口
䘕	彳亠几亍
䘗	彳山一亍
䘘	彳龶糸亍
䘙	彳𫝀口亍
䘠	衤𠂇乂丶
䘡	匕匕亠𧘇
䘨	衤亠八乂
䘪	衤七丶儿
䘪	衤亠厶儿
䘫	女口亠𧘇
䘰	衤丿止廴
䘱	亠八人𧘇
䘲	衤彐冖又
䘴	衤木八厶
䘶	衤乛水凵
䘷	衤丷巾八
䘸	衤亠亻乀
䘹	衤亠人十
䘺	衤宀一龰
䘻	衤七丶月
䘻	衤亠厶月
䘼	衤宀夕㔾
䘾	衤宀尸コ
䘿	衤尸屮凵
䙂	衤八厶心
䙃	衤𠂇工⺼
䙃	衤𠂇工月
䙆	衤癶一大
䙈	衤亻ユ矢
䙉	衤⺁十目
䙊	衤卅冖巾
䙋	衤宀一一
䙌	衤口丄贝
䙎	衤爫幺大
䙐	衤一口丨
䙒	衤亠幺田
䙓	衤罒土厶
䙔	衤匚口口
䙕	衤彳人龰
䙖	衤山月月
䙗	衤亠丷古
䙘	衤戊上小
䙙	衤尸水牛
䙛	衤亠八𧘇
䙜	衤夊丰辶
䙝	亠土𢆉𧘇
䙞	衤癶一䒑
䙟	衤囗𫝀ヰ
䙠	衤厂䒑欠
䙡	衤口丄貝
䙣	衤一大非
䙥	衤雨人マ
䙦	衤卝罒夕
䙦	衤艹罒夕
䙨	衤日木𧘇
䙩	衤艹冖豕
䙪	乂乂木𧘇
䙪	木乂乂𧘇
䙫	衤丬匕八
䙬	衤貝貝女
䙭	衤宀𠀎足
䙮	衤卝口隹
䙮	衤艹口隹
䙯	衤戊上足
䙰	衤文凵隹
䙱	衤尸水虫
䙻	丿㇉丨見
䚃	⺊囗コ見
䚆	艹冂大見
䚇	小丿目見
䚉	丰刀大見
䚊	䒑八皿見
䚌	白大十見
䚏	米夕ヰ見
䚐	矢口日見
䚔	宀一𣥂見
䚖	雨口口見
䚗	⺈⺆土厶
䚗	⺈用八厶
䚘	彳⺈⺆亍
䚘	彳⺈用亍
䚙	⺈⺆土一
䚙	⺈用一一
䚚	⺈⺆土儿
䚚	⺈用⺧儿
䚛	⺈⺆土口
䚛	⺈用⺧口
䚜	⺈⺆土十
䚝	⺈⺆土十
䚝	⺈用亠十
䚞	⺈⺆土來
䚟	⺈⺆土寸
䚟	⺈用日寸
䚠	⺈⺆土匕
䚠	⺈用日匕
䚡	⺈⺆土心
䚡	⺈用田心
䚢	⺈⺆土木
䚢	⺈用世木
䚣	⺈⺆土龰
䚣	⺈用日龰
䚤	⺈⺆土禺
䚥	⺈⺆土冫
䚥	⺈用弓冫
䚦	⺈⺆土虎
䚦	⺈用⺁虎
䚧	⺈⺆土彡
䚧	⺈用习彡
䚨	⺈⺆土殳
䚨	⺈用癶殳
䚩	⺈⺆土口
䚩	⺈用夭口
䚪	⺈⺆土𧘇
䚪	⺈用罒𧘇
䚫	白方夊土
䚫	白方夊用
䚬	⺈⺆土ヰ
䚬	⺈用米ヰ
䚭	⺈⺆土隹
䚭	⺈用艹隹
䛐	㇆一口言
䛟	言大人人
䛠	言一口䒑
䛥	言乂𠂇巾
䛦	言八人口
䛮	言夊人口
䛮	言夊卜口
䛰	言日匕匕
䛱	言口丨心
䛴	言大丁口
䛵	言爫冖又
䛷	言宀夕㔾
䛸	言广⺊口
䛻	言⺁十目
䛿	言一口丨
䜀	言刀丶止
䜁	言乚土大
䜁	言土土乀
䜂	言白大十
䜄	言尸水牛
䜇	言亠八𧘇
䜈	言巛日木
䜉	言木人水
䜋	言口丄貝
䜍	言大丷小
