×	乂
𫷄	卝一巾
𫷅	巾冖车
𫷇	向亠巾
𫷈	彡页巾
𫷑	巾尚田
𫷔	干𠂉乙
𫷕	干丩又
𫷖	干乙𰀁
𫷟	幺耂丂
𫷠	曲幺幺
𫷧	广ナ厶
𫷨	广牛八
𫷩	广巳廾
𫷪	广丰阝
𫷫	广干夊
𫷬	广一米
𫷮	广阝月
𫷷	广钅欠
𫷹	广米女
𫷺	广身寸
𫸄	广艹鬼
𫸓	艹壬廴
𫸔	王頁廴
𫸗	戈乚廾
𫸘	夕匕廾
𫸛	尸毛廾
𫸞	勹車廾
𫸟	⺽弓廾
𫸩	弓匚乂
𫸫	弓ナ口
𫸭	マ囗弓
𫸮	弓木冂
𫸯	弓口大
𫸰	弓爫刀
𫸱	弓礻乚
𫸲	文厂弓
𫸼	烏弓冫
𫹂	弓自魚
𫹍	彳十又
𫹏	彳⺊又
𫹑	彳千刂
𫹓	彳习习
𫹔	彳止口
𫹕	彳⺶乚
𫹖	彳匚羊
𫹗	彳日文
𫹘	彳牛夊
𫹜	彳⺶工
𫹠	彳⺮夭
𫹡	彳革二
𫹬	⺈小丶
𫹮	忄丂一
𫹲	匚儿心
𫹴	忄𰀁乙
𫹵	一兀心
𫹶	忄小丿
𫹷	忄又又
𫹼	忄七小
𫹾	勹巳心
𫹿	宀丁心
𫺀	忄尢子
𫺁	夫丷心
𫺂	忄夫丷
𫺈	忄氵女
𫺉	丷夫心
𫺋	氵女心
𫺌	忄工贝
𫺍	日女心
𫺎	忄丰阝
𫺏	忄白八
𫺒	忄门日
𫺓	忄门心
𫺗	牙夊心
𫺚	舟又心
𫺞	火火心
𫺠	王白心
𫺤	忄⺊貝
𫺮	臣夊心
𫺳	忄⺶工
𫺵	⺷灬心
𫺶	忄阝車
𫺷	又隹心
𫺸	車欠心
𫺺	忄尚巾
𫺻	忄目艮
𫻮	土土戈
𫻴	止戈月
𫻵	⺧口戈
𫻶	戈爿口
𫻷	耂日戈
𫻻	臼儿戈
𫻾	戈巛田
𫼁	甫寸戈
𫼅	壴口戈
𫼇	戈罒貝
𫼋	戶土土
𫼌	户龷八
𫼍	户爫子
𫼏	户耂日
𫼕	扌丿几
𫼖	扌⺈乀
𫼘	扌⺆亠
𫼚	扌亠八
𫼛	扌弓丨
𫼜	手⺊口
𫼝	扌⺈彐
𫼠	手丶王
𫼡	扌幺刀
𫼢	扌厂止
𫼤	扌贝刂
𫼥	扌山己
𫼨	扌⺈贝
𫼩	扌䒑巾
𫼪	扌立丿
𫼭	扌文凵
𫼮	扌冖𧘇
𫼯	扌力辶
𫼰	扌女口
𫼱	扌工贝
𫼲	扌一米
𫼳	扌艹亡
𫼶	扌⺌贝
𫼷	手口巴
𫼸	扌人甲
𫼺	扌犭王
𫼻	扌亻白
𫼽	扌门心
𫼿	手己夊
𫽁	扌车辶
𫽃	扌戈火
𫽆	扌匚合
𫽈	扌艹夫
𫽉	扌止龰
𫽋	扌罒夕
𫽍	扌臼又
𫽑	殳扌日
𫽓	扌戶手
𫽕	扌亦又
𫽖	扌阝且
𫽗	扌不皿
𫽙	扌工页
𫽞	扌口合
𫽠	扌爫田
𫽢	扌⺮马
𫽭	手口貝
𫽮	扌尚儿
𫽯	虍文手
𫽰	扌合日
𫽳	扌⺮毛
𫽴	扌宀辰
𫽼	扌里予
𫾆	扌宀禺
𫾈	扌氵骨
𫾑	扌⺮其
𫾚	扌麻石
𫾛	扌僉夊
𫾣	高十又
𫾦	𠂉⺊又
𫾧	丿七夊
𫾪	士口夊
𫾭	牛八夊
𫾯	广干夊
𫾰	弓氵夊
𫾳	丰寸夊
𫾶	丿米夊
𫾷	氵欠夊
𫾽	合卩夊
𫿁	艹田夊
𫿃	白王夊
𫿄	合口夊
𫿇	方夊且
𫿈	匚虎夊
𫿉	𦣞巳夊
𫿋	𠂉虎夊
𫿖	母貝夊
𫿘	臼豕夊
𫿡	鹿灬夊
𫿰	宀子文
𫿱	木木文
𫿳	亦⺀十
𫿹	䒑巾斤
𫿽	壴口斤
𬀀	方𠂉丩
𬀁	夫方人
𬀃	方𠂉戈
𬀄	方𠂉爪
𬀅	方𠂉水
𬀇	方𠂉古
𬀉	方方方
𬀍	方𠂉言
𬀎	方酉己
𬀦	一乚日
𬀨	日⺈乀
𬀩	日𰀁乙
𬀭	日⺊尸
𬀮	日又寸
𬀯	日厂火
𬀱	日山己
𬀴	丷夫日
𬀵	早丿夫
𬀶	日生刀
𬀸	日文兀
𬀾	日土申
𬁁	日宀且
𬁄	早土欠
𬁅	日虫工
𬁇	日千里
𬁡	ナ又日
𬁣	子丰日
𬁥	耂丂曲
𬁪	子辛日
𬁱	月𬺰丿
𬁲	月丿厶
𬁴	月二厶
𬁵	月匚乂
𬁶	一𫝀月
𬁸	月人㔾
𬁹	屮凵月
𬁺	月一业
𬁻	月丰八
𬁼	冫欠月
𬁽	月口贝
𬁾	亻瓜月
𬁿	月⺶乚
𬂀	月门王
𬂂	月罒夕
𬂄	立戈月
𬂎	月白𧰨
𬂟	木勹丿
𬂠	木一尢
𬂡	木一𫝀
𬂤	木乙𰀁
𬂥	木口七
𬂦	木屮㔾
𬂩	木夫丷
𬂪	木𠂎阝
𬂬	木亻方
𬂮	木乂朩
𬂰	木冖𧘇
𬂶	木且力
𬂹	木手廴
𬂺	木亻白
𬂼	木厶矢
𬂿	木至力
𬃀	木夫见
𬃁	木耳又
𬃉	木人舌
𬃍	木氵白
𬃎	木亠糸
𬃑	木⺷𫶧
𬃓	木皮口
𬃗	木厂里
𬃛	木工页
𬃜	木匕貝
𬃝	木艹田
𬃞	木目斤
𬃢	木舟寸
𬃲	木木页
𬃶	木艹糸
𬃸	木艹早
𬃽	木貝口
𬄄	木𠂤木
𬄇	木酉火
𬄎	木貝夊
𬄐	木夕隹
𬄕	氵隹木
𬄗	木糹且
𬄙	木其月
𬄛	木其日
𬄝	木工頁
𬄟	木艹非
𬄤	木艹其
𬄥	木口面
𬄯	木其石
𬅞	一𬺰欠
𬅠	九口欠
𬅢	夫丷欠
𬅦	爫子欠
𬅧	冫欠目
𬅩	耂日欠
𬅬	⺷口欠
𬅹	一巾止
𬅺	一日止
𬅻	土厶止
𬅼	木冂止
𬅿	止匕且
𬆂	车斤龰
𬆄	正宀且
𬆆	不正卯
𬆈	正亻尚
𬆉	車斤龰
𬆑	一夕世
𬆙	⺊夕鱼
𬆟	匚儿殳
𬆠	小丿殳
𬆡	一火殳
𬆤	牛八殳
𬆥	木口殳
𬆦	车口殳
𬆧	⺧口殳
𬆶	ナ𠂉母
𬆽	毛二厶
𬆿	毛勹𰀪
𬇀	毛日一
𬇂	毛立日
𬇃	钅皮毛
𬇑	气木卜
𬇕	氵一勹
𬇚	氵幺乙
𬇜	水大⺀
𬇟	氵丶水
𬇠	氵戊乙
𬇡	氵口𫶧
𬇣	氵䒑巾
𬇤	氵宀子
𬇥	氵八夫
𬇦	丷夫水
𬇨	氵士心
𬇩	氵木土
𬇪	氵木亍
𬇫	氵扌巴
𬇮	氵殳亡
𬇰	氵门心
𬇱	氵水口
𬇳	氵尸斤
𬇷	氵木日
𬇻	白子水
𬇽	氵戶月
𬈀	氵文月
𬈂	氵子皿
𬈏	氵⺮马
𬈔	氵水田
𬈙	氵𡗗示
𬈢	氵立卯
𬈩	氵艹甫
𬈪	氵罒早
𬈱	氵皮页
𬈲	氵王其
𬈳	氵雨文
𬈷	氵尚木
𬈹	氵夭金
𬈺	氵非心
𬈾	氵舌页
𬉁	氵亦虫
𬉐	氵殳頁
𬉤	氵⺮馬
𬉶	一𬺰火
𬉼	火匚乂
𬉽	火山乙
𬉾	火⺆亠
𬊁	火冂土
𬊂	火⺈彐
𬊃	火木冂
𬊆	火乃心
𬊇	火火乂
𬊈	火彐寸
𬊉	火大辶
𬊊	火王廾
𬊌	火士心
𬊍	火丰寸
𬊎	火工贝
𬊒	火口壬
𬊔	火禾乃
𬊖	火门文
𬊗	火车斤
𬊘	日日灬
𬊚	日月灬
𬊜	火罒夕
𬊞	亻米灬
𬊦	火火见
𬊭	火日业
𬊯	火⺮马
𬊳	火艹早
𬊵	火尚儿
𬊷	火𠂤殳
𬊸	火白立
𬊻	白白火
𬊾	又隹灬
𬊿	火車辶
𬋇	耳耳火
𬋈	木隹灬
𬋌	火⺷𧰨
𬋑	貝貝火
𬋕	酉隹灬
𬋤	爪冖几
𬋥	爫刀又
𬋦	爪口八
𬋧	爫亠𧘇
𬋭	爫龵目
𬋰	⺮毛爪
𬋻	八乂大
𬋿	爿⺊夕
𬌀	爿亻寸
𬌂	爿日土
𬌃	爿木日
𬌄	爿匚羊
𬌅	爿土田
𬌆	爿止日
𬌋	爿片其
𬌛	〢又牛
𬌜	牛小丿
𬌝	牛⺈彐
𬌞	牛口口
𬌠	牛日寸
𬌡	牛日木
𬌥	牛米女
𬌫	犭丿厶
𬌬	犭ナ工
𬌭	犭巳七
𬌴	犭彐火
𬌵	犭车辶
𬌸	犭𡗗日
𬌻	犭刀貝
𬌽	犭辰寸
𬍁	犭車辶
𬍃	犭⺶目
𬍊	臼言犬
𬍒	王二厶
𬍔	王七刀
𬍕	王亻匕
𬍗	王戈丿
𬍘	王ナ口
𬍙	王一戈
𬍜	王宀丁
𬍝	王弓厶
𬍠	王亠𧘇
𬍣	王女口
𬍤	王彐寸
𬍬	王土𢆉
𬍯	王日木
𬍰	王山石
𬍱	王合卩
𬍲	王壬壬
𬍶	王日立
𬍻	王車廴
𬍽	王口貝
𬎂	王冖隹
𬎅	王雨彐
𬎐	王⺮合
𬎔	王革斤
𬎢	瓜口儿
𬎣	瓜丿之
𬎦	瓦大丶
𬎧	人人瓦
𬎨	乃木瓦
𬎫	䒑屮瓦
𬎮	瓦千里
𬎶	生彐火
𬎸	臼儿生
𬎺	生白水
𬎼	䒑𧰨生
𬎽	用⺈丨
𬏀	田勹丶
𬏁	由乃乀
𬏂	田⺈小
𬏅	甶口乂
𬏆	丰又田
𬏇	田王廾
𬏈	田田丁
𬏊	田丶艮
𬏋	田龷𧘇
𬏌	由走己
𬏍	申申申
𬏏	爫糸田
𬏑	田立电
𬏛	疒𬺰丿
𬏝	疒⺊了
𬏟	疒讠十
𬏠	疒幺乙
𬏢	疒ナ工
𬏣	疒亻山
𬏪	疒宀女
𬏫	疒冖车
𬏬	疒习习
𬏱	疒氵殳
𬏹	疒⺽巾
𬏺	疒皿𧰨
𬏽	疒罒貝
𬐄	白勹二
𬐆	白丿之
𬐈	白耂丂
𬐉	⺌彐白
𬐊	⺧口白
𬐌	白扌皮
𬐔	丶水皮
𬐕	皮爫子
𬐖	皮尸至
𬐗	人乚皿
𬐙	皿乙𰀁
𬐚	𠂉口皿
𬐛	氵几皿
𬐜	戈二皿
𬐝	工工皿
𬐦	氵禾皿
𬐫	舟子皿
𬐬	千臼皿
𬐯	氵舟皿
𬐶	酉舟皿
𬐹	金缶皿
𬐻	氵鹵皿
𬐽	鹿夊皿
𬑅	目⺈丨
𬑆	目人匕
𬑈	目干八
𬑊	目木一
𬑋	目囗人
𬑍	目⺈彐
𬑎	目屮凵
𬑏	目ス工
𬑐	目ナ月
𬑑	目耂匕
𬑕	目冖车
𬑗	目门日
𬑝	目又足
𬑠	目隹又
𬑢	目亦辶
𬑥	目小隹
𬑭	予丿山
𬑰	矢丷𰀁
𬑱	矢宀丁
𬑲	矢𠂉母
𬑼	石丿厶
𬑾	石一大
𬒄	石车乚
𬒅	石冂巳
𬒇	石䒑二
𬒈	⺍冖石
𬒋	石几木
𬒍	石口贝
𬒏	石山巴
𬒐	石𠂉母
𬒒	石車乚
𬒓	石罒夕
𬒔	石止月
𬒘	石亻言
𬒙	石⺷大
𬒚	石冖車
𬒣	石虫虫
𬒫	石⺮僉
𬒭	示一巾
𬒮	礻ユ人
𬒯	礻乙𰀁
𬒲	礻千又
𬒶	礻木口
𬒷	礻不口
𬒾	礻龶𧘇
𬓁	示日斤
𬓃	礻月月
𬓄	示𱼀牛
𬓇	礻宀且
𬓉	礻𡗗日
𬓍	礻亦大
𬓏	礻隹又
𬓑	礻革二
𬓣	禾乙𰀁
𬓤	禾尸乀
𬓥	禾一丰
𬓧	亻壬禾
𬓨	禾立乚
𬓩	禾巛夕
𬓫	禾⺈电
𬓲	禾⺊貝
𬓴	禾爫用
𬓷	禾禾田
𬔀	禾隹辶
𬔉	穴口口
𬔊	穴又止
𬔋	穴犬下
𬔌	穴牙千
𬔍	穴由廾
𬔏	穴自犬
𬔐	穴革二
𬔙	乙𰀁立
𬔚	立刀八
𬔝	立屮巳
𬔞	立爫女
𬔣	立合卩
𬔤	立田月
𬔥	立千里
𬔯	⺮匚乂
𬔳	⺮干丷
𬔵	⺮王丶
𬔶	⺮丬匕
𬔷	⺮夕卜
𬔸	⺮子几
𬔺	⺮土大
𬔻	⺮亻文
𬔼	⺮亻夊
𬔽	⺮夕口
𬕀	⺮宀寸
𬕁	⺮亠𧘇
𬕂	⺮工贝
𬕃	⺮不口
𬕅	⺮亻立
𬕇	⺮勹目
𬕊	⺮门心
𬕌	⺮广木
𬕏	⺮𡗗𰀁
𬕑	⺮日日
𬕔	⺮月月
𬕕	⺮片斤
𬕗	⺮方斤
𬕛	⺮车古
𬕡	⺮糹工
𬕤	⺮木艮
𬕮	⺮木金
𬕿	⺮米頁
𬖒	米亻匕
𬖓	米木一
𬖔	米木丶
𬖖	米⺈彐
𬖗	米女又
𬖘	米又𰀁
𬖚	米九朩
𬖝	米日干
𬖞	米日寸
𬖟	米门心
𬖡	米耂日
𬖢	米囗古
𬖫	西米殳
𬖯	舟殳米
𬖱	米⺶丑
𬖸	米⺮合
𬖾	米皮頁
𬗁	西米骨
𬗄	糹几丶
𬗅	糹乃又
𬗆	糹子乚
𬗈	糹王丶
𬗊	糸丶水
𬗋	止弋糸
𬗏	糹口巾
𬗑	糹亠𧘇
𬗓	糹䒑巾
𬗔	糹文寸
𬗕	糹戈廾
𬗗	糹扌斤
𬗚	糹勹田
𬗜	糹千龷
𬗝	糹マ用
𬗠	糹龶𧘇
𬗡	糹日日
𬗦	糹宀且
𬗨	糹匕貝
𬗩	糹石斤
𬗬	糸白王
𬗮	糹⺷大
𬗯	糹工貝
𬗱	糹田末
𬗴	糹來夊
𬗺	糹⺮由
𬗿	糹隹殳
𬘂	糹予頁
𬘗	纟勹厶
𬘘	纟冖儿
𬘙	纟戈乚
𬘛	纟土厶
𬘜	纟日一
𬘝	纟人彡
𬘠	纟ナ月
𬘡	纟囗大
𬘢	纟⺌兀
𬘣	纟口巾
𬘤	纟口口
𬘥	纟人王
𬘨	纟士心
𬘩	纟壬廴
𬘬	纟龶月
𬘭	纟木木
𬘮	纟爫见
𬘰	纟而大
𬘱	纟西女
𬘳	纟彡页
𬘴	纟禾火
𬘶	纟丷酉
𬘷	纟⺶工
𬘺	纟爫臼
𬘽	纟尸辛
𬙀	纟⺮由
𬙊	纟黑土
𬙌	缶匕匕
𬙎	缶⺊尸
𬙏	缶⺌彐
𬙐	缶彑水
𬙓	缶虍牛
𬙔	缶尚田
𬙘	罒一𬺰
𬙛	罒大⺀
𬙟	罒匚矢
𬙣	罒户戈
𬙤	罒扌甫
𬙥	罒身寸
𬙭	羊𰀁乙
𬙯	羊宀一
𬙱	羊戊丶
𬙲	羊干干
𬙶	羊月月
𬚃	习习足
𬚊	耂匕了
𬚌	其耂匕
𬚒	耳二乚
𬚕	耳乃子
𬚖	耳刀口
𬚙	耳小大
𬚛	耳䒑夫
𬚪	彐土乂
𬚭	烏彐𰀁
𬚰	冂乂月
𬚹	月乃木
𬚼	月王廾
𬛀	戶月工
𬛄	月止日
𬛊	月䒑𧰨
𬛍	月𡗗水
𬛔	石辰月
𬛕	來户月
𬛖	月門日
𬛗	月門心
𬛣	𦣞乙𰀁
𬛤	亻寸臣
𬛦	臣卜立
𬛧	臣臣子
𬛲	丿廾至
𬛴	至𡗗水
𬛵	至𡗗示
𬛶	至至來
𬛹	臼乙𰀪
𬜅	舌⺊口
𬜆	舌丿之
𬜉	舌田心
𬜊	舌貝刂
𬜓	舟人予
𬜔	舟大辶
𬜖	舟穴工
𬜛	舟⺮皮
𬜞	⺈巴非
𬜢	艹⺈乀
𬜤	艹〢又
𬜥	艹几乂
𬜦	艹十廾
𬜨	艹山夕
𬜩	艹人日
𬜫	艹九心
𬜬	艹门口
𬜮	艹彐彐
𬜰	艹口文
𬜱	艹矢刂
𬜲	艹⺈用
𬜵	艹文口
𬜸	艹忄不
𬜹	艹女方
𬜺	艹纟丑
𬜽	艹石廾
𬝅	艹方斤
𬝆	艹⺷儿
𬝊	艹纟瓜
𬝋	艹ㄗ虫
𬝌	艹木白
𬝏	艹日戊
𬝑	艹人镸
𬝕	艹甶廾
𬝚	艹龶糸
𬝞	艹木耳
𬝟	艹囗甫
𬝴	艹文隹
𬝵	艹車欠
𬝹	艹雨彐
𬝾	艹尚土
𬝿	艹貝辶
𬞀	艹日辰
𬞃	艹夕非
𬞄	艹隹土
𬞍	艹糹未
𬞒	艹禺口
𬞓	艹隹尤
𬞩	艹高土
𬞵	艹金艮
𬞼	艹糹隹
𬟊	艹麻心
𬟍	艹糹禺
𬟐	艹足頁
𬟑	艹白鳥
𬟵	虫丿几
𬟶	虫土丶
𬟸	虫厂又
𬟹	虫亻匕
𬟺	人人虫
𬟻	虫亠八
𬟽	虫七小
𬠁	虫⺀大
𬠄	虫囗巾
𬠅	虫⺌彐
𬠈	虫工贝
𬠏	虫扌立
𬠒	虫白巾
𬠓	虫禾子
𬠗	虫立口
𬠚	虫氵皮
𬠢	虫礻且
𬠤	水虫虫
𬠬	虫艹雨
𬠯	虫罒非
𬠽	彳丶亍
𬠾	彳戈亍
𬠿	彳止亍
𬡇	亠马𧘇
𬡉	衤厂㔾
𬡋	衤匚巾
𬡎	衤⺈彐
𬡏	亠立𧘇
𬡒	衤夫丷
𬡕	衤乂朩
𬡖	衤几木
𬡗	亠米𧘇
𬡙	衤艹千
𬡞	艹衤巴
𬡠	衤罒夕
𬡡	亠隹𧘇
𬡣	衤立口
𬡥	衤⺊貝
𬡦	衤⺮马
𬡯	衤亦虫
𬡶	衤黑土
𬡹	西亻白
𬢀	斤欠見
𬢆	虎虎見
𬢈	七小见
𬢌	士心见
𬢍	木冂见
𬢎	耂日见
𬢏	其乚见
𬢙	𣎆⺈用
𬢝	一八言
𬢞	言⺈丨
𬢟	言⺊又
𬢠	言乙𰀁
𬢢	言厶廾
𬢣	言二戈
𬢤	二欠言
𬢥	言戈𰀪
𬢦	言耂丂
𬢧	口口言
𬢨	言宀女
𬢩	言水凵
𬢪	言丰寸
𬢫	言木寸
𬢮	言止龰
𬢯	贝贝言
𬢰	言戶方
𬢱	言⺷又
𬢵	言⺊貝
𬢹	言厶辛
𬢽	言而火
𬢾	言辰寸
𬢿	言艹合
𬣂	言羊牛
𬣆	言來辶
𬣙	讠一𬺰
𬣛	讠十又
𬣝	讠勹冫
𬣞	讠宀一
𬣟	讠⺀十
𬣠	讠卄二
𬣡	讠一戈
𬣢	讠亻也
𬣣	讠丶王
𬣤	讠亠幺
𬣥	讠屮又
𬣦	讠幺力
𬣨	讠厂牙
𬣩	讠ナ月
𬣪	讠山夕
𬣬	讠囗口
𬣭	讠⺌彐
𬣮	讠夕口
𬣯	讠亻壬
𬣱	讠⺍川
𬣲	讠䒑廾
𬣵	讠大辶
𬣷	讠木口
𬣸	讠日干
𬣺	讠夊㐄
𬣻	讠壬廴
𬣼	讠丶艮
𬣽	讠车辶
𬣾	讠龷日
𬤁	讠勹缶
𬤇	讠西土
𬤌	讠千臼
𬤍	讠白王
𬤗	讠亦木
𬤱	讠鬼隹
𬤼	乂凵豕
𬤾	木土豕
𬥁	耳又豕
𬥅	目目豕
𬥋	豸里夊
𬥏	貝八刀
𬥐	八乂貝
𬥑	乂凵貝
𬥒	彐丿貝
𬥓	貝丷𰀁
𬥔	斤貝匕
𬥖	貝止土
𬥘	貝⺧口
𬥝	白巾貝
𬥪	壴皮貝
𬥳	贝人㔾
𬥴	贝卄二
𬥵	贝𠂉也
𬥹	贝人舌
𬥻	贝而大
𬥼	贝山而
𬦅	走乙𰀪
𬦊	走⺊夕
𬦋	走丶水
𬦌	走戊乙
𬦑	走厶矢
𬦒	走月月
𬦓	走宀示
𬦔	走土羊
𬦖	走冖車
𬦘	走𦣞巳
𬦚	走罒矢
𬦝	走日辛
𬦡	足人丨
𬦣	足厂力
𬦧	足人匕
𬦨	足口卩
𬦩	足⺈彐
𬦪	足刀口
𬦫	足又𰀁
𬦯	足夫丷
𬦰	足丆日
𬦵	足弓长
𬦶	足至刂
𬦹	足夊木
𬦽	足西女
𬦿	足亻言
𬧄	足工貝
𬧅	足甫寸
𬧈	足立立
𬧊	足革力
𬧋	足車斤
𬧌	足虎彡
𬧍	足⺮由
𬧏	足⺷皿
𬧐	足糹田
𬧔	足鱼日
𬧙	足魚日
𬧡	身亠八
𬧢	身尤丿
𬧥	身山石
𬧯	身西示
𬧱	車匕匕
𬧲	丁口車
𬧴	車乙水
𬧷	車子皿
𬧹	車⺶工
𬧾	雨田車
𬨃	车卩又
𬨄	车冂大
𬨅	车尸又
𬨉	车勹田
𬨊	尸毛车
𬨋	爿士车
𬨎	车丷酉
𬨘	辛心丿
𬨞	⺊又辶
𬨟	八刀辶
𬨠	丿廾辶
𬨣	丶水辶
𬨥	乂朩辶
𬨩	禾儿辶
𬨪	爫巾辶
𬨭	匚羊辶
𬨮	木日辶
𬨯	犭白辶
𬨱	阝且辶
𬨶	爫正辶
𬨺	車上辶
𬩃	虎彡辶
𬩖	尚田辶
𬩚	臼辰辶
𬩥	豕來辶
𬩴	口巴又
𬩵	口丨阝
𬩷	⺊口阝
𬩹	亻三阝
𬩻	乂朩阝
𬩽	彐寸阝
𬩾	一米阝
𬩿	止土阝
𬪀	日女阝
𬪃	爫寸阝
𬪅	𡗗𰀁阝
𬪋	艹卯阝
𬪍	卯贝阝
𬪎	白木阝
𬪣	虍魚阝
𬪧	酉匚乂
𬪨	酉一戈
𬪩	酉冖𧘇
𬪫	酉门日
𬪭	酉西土
𬪱	酉尸至
𬪴	酉舌火
𬪺	丿米广
𬪼	千里夕
𬫂	金厂力
𬫅	亻卩金
𬫆	金干又
𬫇	金弋二
𬫈	口卩金
𬫊	金亻千
𬫍	金戈ナ
𬫏	金匕日
𬫐	金上小
𬫑	金彳亍
𬫒	金八夫
𬫓	金女子
𬫕	金木彡
𬫖	金二且
𬫘	金山欠
𬫙	金由丂
𬫞	金火廾
𬫟	金彐火
𬫠	金水口
𬫣	金戈丰
𬫥	金禾子
𬫦	金合卩
𬫨	火火金
𬫭	金厂里
𬫯	金艹戊
𬫳	金𡗗水
𬫵	金龶糸
𬫷	金辰口
𬫸	金罒矢
𬬂	金⺮立
𬬉	金口面
𬬨	钅一丂
𬬫	钅匕匕
𬬬	钅𰀁乙
𬬭	钅人匕
𬬰	钅人㔾
𬬵	钅冖儿
𬬸	钅木丶
𬬻	钅⺊尸
𬬾	钅宀丁
𬬿	钅刀口
𬭀	钅厶口
𬭂	钅弓厶
𬭃	钅不十
𬭆	钅几木
𬭊	钅木土
𬭋	钅戈廾
𬭍	钅日干
𬭏	钅阝日
𬭐	钅厶矢
𬭖	钅月月
𬭗	钅禾女
𬭘	钅人舌
𬭛	钅氵皮
𬭜	钅户犬
𬭞	钅大耳
𬭣	钅白水
𬭦	钅辰寸
𬭨	钅𠂤辶
𬭳	钅壴口
𬭵	钅壴彡
𬭷	钅尚牙
𬮉	門屮凵
𬮋	門犭夊
𬮌	文𰀁門
𬮎	⺷大門
𬮏	門身寸
𬮙	门一勹
𬮜	门一大
𬮠	门丁口
𬮡	门夕卜
𬮢	门龷八
𬮣	门匚王
𬮦	门䒑大
𬮧	门氵亡
𬮩	门丿糸
𬮬	门龶月
𬮭	门夫见
𬮱	门西土
𬮲	门西女
𬮴	门立日
𬮵	门阝艮
𬮸	门立里
𬮾	阝斤一
𬮿	阝山己
𬯃	阝氵欠
𬯇	阝白土
𬯋	阝其乚
𬯌	阝𡗗日
𬯏	阝白水
𬯒	阝𱼀缶
𬯫	隹冖土
𬯬	⺌兀隹
𬯮	巛巴隹
𬯯	耂日隹
𬯴	隹心隹
𬯵	貝貝隹
𬯶	⺽辛隹
𬯸	雨九丶
𬯻	雨亠巾
𬯼	雨禾刂
𬯿	雨日月
𬰃	雨氵末
𬰉	雨田艮
𬰊	雨言辶
𬰕	雨革馬
𬰛	刀口非
𬰝	舟殳非
𬰡	面罒夕
𬰤	革纟寸
𬰦	革囗古
𬰧	革䒑𧰨
𬰱	𰀁乙干
𬰹	立日由
𬰺	立日业
𬰻	立日禾
𬱀	一𬺰頁
𬱁	丶水頁
𬱂	心丿頁
𬱃	夕口頁
𬱅	西乚頁
𬱆	古儿頁
𬱏	立隹頁
𬱕	⺈又页
𬱗	⺊口页
𬱘	斤丶页
𬱙	丷𰀁页
𬱚	心丿页
𬱜	丰八页
𬱝	日匕页
𬱞	口口页
𬱡	乃木页
𬱢	冖车页
𬱥	マ用页
𬱨	大电页
𬱪	𠂤十页
𬱯	䒑自页
𬱴	風千里
𬱻	立几二
𬲌	食一巾
𬲍	食八刀
𬲏	十戈食
𬲐	食戊乙
𬲑	食九日
𬲒	食匕矢
𬲔	食文口
𬲕	车斤食
𬲗	食而女
𬲘	食西女
𬲙	食⺷廾
𬲛	食其斤
𬲜	食尚牙
𬲧	饣一丂
𬲨	饣一𬺰
𬲩	饣厂㔾
𬲪	饣人人
𬲫	饣⺊口
𬲬	饣口八
𬲯	饣勹口
𬲱	饣宀匕
𬲲	饣宀丁
𬲳	饣又𰀁
𬲴	饣山口
𬲵	饣勹殳
𬲸	饣寸辶
𬲹	饣艹亡
𬲺	饣爫子
𬲼	饣大电
𬲾	饣囗古
𬲿	饣山石
𬳊	饣爫臼
𬳋	饣自心
𬳌	饣自犬
𬳕	䒑自竹
𬳗	甫䒑自
𬳥	禾日鳥
𬳩	馬⺊又
𬳪	彐丿馬
𬳳	马几乂
𬳴	马干丷
𬳵	马不一
𬳶	马冂口
𬳸	⺍冖马
𬳻	马匚王
𬳼	马ナ月
𬳽	马⺧儿
𬳾	马夕夕
𬴀	马丶艮
𬴃	马丰石
𬴄	马日生
𬴆	马革二
𬴍	马鹿灬
𬴑	王廾骨
𬴓	⺮馬骨
𬴕	高山乙
𬴚	高宀示
𬴞	高龸足
𬴧	髟一廾
𬴩	髟冖𧘇
𬴪	髟宀木
𬴫	髟木木
𬴭	髟犭虫
𬴮	髟𠃜目
𬵄	九丶魚
𬵈	魚囗コ
𬵊	魚入小
𬵋	氵丁魚
𬵌	魚丶水
𬵍	魚土也
𬵎	魚囗巾
𬵐	魚广土
𬵑	魚刀辶
𬵖	魚厶矢
𬵚	魚⺮二
𬵜	魚襾女
𬵡	魚龶糸
𬵦	魚艹甫
𬵧	魚巾隹
𬵬	魚門木
𬶄	鱼勹丶
𬶉	鱼𠂉十
𬶋	鱼勹口
𬶌	鱼亻弋
𬶍	鱼宀匕
𬶎	鱼艹ㄗ
𬶑	鱼大辶
𬶓	鱼壬廴
𬶔	鱼⺧口
𬶖	鱼大电
𬶘	鱼日卯
𬶜	鱼立口
𬶞	鱼古月
𬶡	鱼龶母
𬶢	鱼日生
𬶣	鱼⺶工
𬶥	鱼亦弓
𬶬	鱼虍业
𬶮	鱼壴口
𬶰	鱼尚手
𬶳	鱼鱼日
𬷀	鳥ナ又
𬷂	乂十鳥
𬷄	⺀十鳥
𬷅	鳥冂大
𬷆	鳥冂土
𬷇	冂土鳥
𬷈	亻弋鳥
𬷉	亻工鳥
𬷋	鳥宀丁
𬷌	宀丁鳥
𬷏	人止鳥
𬷐	鳥亠𧘇
𬷑	女口鳥
