㑇	亻 负字头 彐
禶	礻 告字头 儿 告字头 儿 目 八
禷	礻 米 犬 1 3 目 八
禸	禸
禹	3 口 禺下
禺	日 禺下
离	亠 乂 凵 禸
禼	卢字头 囗 乂 禸
禽	全字头 亠 乂 凵 禸
禾	禾
禿	禾 儿
秀	禾 乃
私	禾 厶
秂	禾 人
秃	禾 几
秄	禾 子
秅	禾 3 七
秆	禾 干
秇	禾 丸
秈	禾 山
秉	禾框 聿三
秊	禾 千
秋	禾 火
秌	火 禾
种	禾 口 2
秎	禾 八 刀
秏	禾 毛
秐	禾 云
科	禾 冬字底 十
秒	禾 少三 3
秓	禾 支
秔	禾 亠 几
秕	禾 比字旁 匕
秖	禾 氏
秗	禾 3 大
秘	禾 心 3
秙	禾 古
秚	禾 丷 举字底
秛	禾 皮
秜	禾 尸 匕
秝	禾 禾
秞	禾 由
租	禾 且
秠	禾 不 1
秡	禾 左字框 又 4
秢	禾 今 4
秣	禾 1 木
秤	禾 干 丷
秥	禾 卢字头 口
秦	春字头 禾
秧	禾 见二 大
秨	禾 乍
秩	禾 3 夫
秪	禾 氏 4
秫	禾 木 4
秬	禾 匚 叚右角
秭	禾 3 5 2 3
秮	禾 厶 口
积	禾 口 八
称	禾 负字头 小
秱	禾 冂 同字心
秲	禾 土 寸
秳	禾 舌
秴	禾 亼 口
秵	禾 囗 大
秶	冫 欠 禾
秷	禾 至
秸	禾 士 口
秹	禾 亻 壬
秺	禾 宀 3 七
移	禾 夕 夕
秼	禾 3 未
秽	禾 山 夕
秾	禾 冖 衣省
秿	禾 甫
稀	禾 乂 左字框 巾
稁	享字头 冖 禾
稂	禾 4 艮
稃	禾 爫 子
稄	禾 厶 傻下角
稅	禾 八 口 儿
稆	禾 口 口
稇	禾 囗 木
稈	禾 日 干
稉	禾 1 日 乂
稊	禾 丷 弟省
程	禾 口 王
稌	禾 全字头 余字底
稍	禾 尚字头 青字底
税	禾 丷 口 儿
稏	禾 1 2 1 5 5 1 2 1
稐	禾 亼 扁字心
稑	禾 土 八 土
稒	禾 囗 古
稓	禾 龷 日
稔	禾 今 心
稕	禾 享字头 子
稖	禾 立 口
稗	禾 白 3 十
稘	禾 其
稙	禾 十 具字头
稚	禾 隹
稛	禾 囗 禾
稜	禾 土 傻下角
稝	禾 月 月
稞	禾 日 木
稟	亠 囗 口 禾
稠	禾 周字框 土 口
稡	禾 亠 人 人 十
稢	禾 戈 口 1
稣	鱼 禾
稤	禾 享字头 小
稥	禾 灬 日
稦	禾 候右角 2 口 㐄
稧	禾 丰 刀 大
稨	禾 户 扁字心
稩	禾 田 青字底
稪	禾 卧人 日 夂
稫	禾 同字心 田
稬	禾 而 大
稭	禾 比字旁 匕 白
種	禾 千 里
稯	禾 乂 凵 八 夂
稰	禾 疋 青字底
稱	禾 爫 冂 里无日
稲	禾 爫 2 日
稳	禾 负字头 彐 心
稴	禾 兼
稵	禾 䒑 幺 幺
稶	禾 彧字框 口 1
稷	禾 田 傻下角
稸	禾 亠 幺 田
稹	禾 十 具字头 八
稺	禾 尸 辛
稻	禾 爫 臼
稼	禾 宀 豕
稽	禾 尤 匕 日
稾	高 禾
稿	禾 高
穀	壳字头 1 禾 殳
穁	禾 艹 耳
穂	禾 1 由 心
穃	禾 宀 谷
穄	禾 祭字头 示
穅	禾 广 隶字框 率字腰
穆	禾 白 小 彡
穇	禾 厶 厶 厶 全字头 彡
穈	麻 禾
穉	禾 尸 氺 牛
穊	禾 即字旁 旡
穋	禾 羽 全字头 彡
穌	负字头 田 灬 禾
積	禾 龶 目 八
穎	匕 禾 1 3 目 八
穏	禾 爫 彐 心
穐	禾 负字头 日 日 5
穑	禾 土 丷 囗 口
穒	禾 3 见二 三 5 灬
穓	禾 田 共
穔	禾 龷 由 八
穕	禾 隹 木
穖	禾 幺 幺 戈 人
穗	禾 1 日 虫无口 心
穘	禾 土 土 土 1 儿
穙	禾 业 养字头
穚	禾 3 大 口 冂 口
穛	禾 隹 灬
穜	禾 立 里
穝	禾 日 耳 又
穞	禾 鱼 日
穟	禾 䒑 豕省 辶
穠	禾 曲 辰
穡	禾 土 人 人 囗 口
穢	禾 止 戊 1 步字底
穣	禾 六 1 龷 衣省
穤	禾 雨头 而
穥	禾 臼裂 1 与无横 2 八
穦	禾 宀 1 步字底 目 八
穧	禾 亠 丷 2 刀 卬字旁 4 乔字底 二
穨	禾 几 贵字头 目 八
穩	禾 爫 工 彐 心
穪	禾 1 八 巾 乂 乂 乂 乂
穫	禾 艹 隹 又
穬	禾 广 龷 由 八
穭	禾 负字头 田 灬 日
穮	禾 鹿 灬
穯	禾 土 口 口 囗 口
穰	禾 亠 口 口 1 龷 衣省
穱	禾 爫 罒 即字旁 寸
穲	禾 1 丽下角 1 丽下角 鹿
穳	禾 告字头 儿 告字头 儿 目 八
穴	穴
穵	穴 6
究	穴 九
穷	穴 力
穸	穴 夕
穹	穴 弓
空	穴 工
穻	穴 1 于无横
穼	穴 木
穽	穴 井
穾	穴 3 大
穿	穴 牙
窀	穴 1 屯无横
突	穴 犬
窂	穴 牛
窃	穴 七 刀
窄	穴 乍
窅	穴 目
窆	穴 3 之
窇	穴 勹 巳
窈	穴 幺 力
窉	穴 1 冂 人
窊	穴 瓜
窋	穴 屮 凵
窌	穴 卯
窍	穴 工 1 5
窎	穴 鸟
窏	穴 氵 1 于无横
窐	穴 土 土
窑	穴 缶
窒	穴 至
窓	穴 厶 心
窔	穴 六 乂
窕	穴 儿 率字腰
窖	穴 告字头 口
窗	穴 囱字框 夂
窘	穴 聿三 3 口
窙	穴 耂 子
窚	穴 戊 5
窛	穴 二 儿 女
窜	穴 口 口 2
窝	穴 口 冂 人
窞	穴 负字头 臼
窟	穴 尸 屮 凵
窠	穴 日 木
窡	穴 又 又 又 又
窢	穴 戈 口 1
窣	穴 亠 人 人 十
窤	穴 日 比字旁 匕
窥	穴 夫 见
窦	穴 卖字头 冬字底 大
窧	穴 卢字头 早
窨	穴 音
窩	穴 见二 5 冂 口
窪	穴 氵 土 土
窫	穴 丰 刀 大
窬	穴 亼 青字底 刂
窭	穴 米 女
窮	穴 身 弓
窯	穴 美字头 灬
窰	穴 爫 缶
窱	穴 亻 2 夂 朩
窲	穴 米 冬字底 十
窳	穴 瓜 瓜
窴	穴 十 具字头 八
窵	穴 3 见二 三 5 灬
窶	穴 口 十 口 女
窷	穴 耳 卯
窸	穴 3 米 心
窹	穴 爿 五 口
窺	穴 夫 目 儿
窻	穴 囱字框 夂 心
窼	穴 巛 日 木
窽	穴 匕 矢 欠
窾	穴 士 示 欠
窿	穴 阝 夂 1 生
竀	穴 1 止 目 儿
竁	穴 毛 毛 毛
竂	穴 大变 丷 日 小
竃	穴 土 日 日 5
竄	穴 鼠
竅	穴 白 方 攵
竆	穴 身 口 口
竇	穴 士 罒 目 八
竈	穴 土 临字旁 叚右角 1 5 三 2 彐
竉	穴 立 青字底 1 5 1 5 三
竊	穴 3 米 卢字头 见二 人 禸
立	立
竌	立 几
竍	立 十
竎	立 廾
竏	立 千
竐	立 殳
竑	立 左字框 厶
竒	立 口 2
竓	立 毛
竔	立 3 廾
竕	立 八 刀
竖	临字旁 又 立
竗	立 少三 3
竘	立 句
站	立 卢字头 口
竚	立 宀 丁
竛	立 今 4
竜	立 日 5
竝	立 立
竞	立 口 儿
竟	音 儿
章	立 早
竡	立 1 白
竢	立 厶 矢
竣	立 厶 傻下角
竤	立 宀 左字框 厶
童	立 里
竦	立 束
竧	立 身
竨	立 卢字头 早
竩	立 宀 且
竪	臣 又 立
竫	立 负字头 争字底
竬	立 3 口 禺下
竭	立 日 勹 亾
竮	立 尸 䒑 廾
端	立 山 而
竰	立 厂 里
竱	立 1 日 虫无口 寸
竲	立 丷 曾字头无丷 日
竳	立 癶 同字心 䒑
竴	立 丷 酉 寸
竵	立 1 口 㐄 冂 䒑 2
競	立 口 儿 立 口 儿
竷	立 早 夂 㐄 夂
竸	音 儿 音 儿
竹	竹
竺	竹头 二
竻	竹头 力
竼	竹头 几 4
竽	竹头 1 于无横
竾	竹头 也
竿	竹头 干
笀	竹头 亡
笁	竹头 工
笂	竹头 丸
笃	竹头 马
笄	竹头 1 廾
笅	竹头 乂 乂
笆	竹头 巴
笇	竹头 亠 卜
笈	竹头 及
笉	竹头 勹 冫
笊	竹头 爪
笋	竹头 聿三 3
笌	竹头 牙
笍	竹头 冂 人
笎	竹头 二 儿
笏	竹头 勿
笐	竹头 亠 几
笑	竹头 3 大
笒	竹头 今
笓	竹头 比字旁 匕
笔	竹头 毛
笕	竹头 见
笖	竹头 以字旁 人
笗	竹头 夂 冬字底
笘	竹头 卢字头 口
笙	竹头 生
笚	竹头 甲
笛	竹头 由
笜	竹头 屮 凵
笝	竹头 囗 又
笞	竹头 厶 口
笟	竹头 瓜
笠	竹头 立
笡	竹头 且
笢	竹头 民
笣	竹头 勹 巳
笤	竹头 刀 口
笥	竹头 5 同字心
符	竹头 亻 寸
笧	竹头 册
笨	竹头 木 1
笩	竹头 亻 弋
笪	竹头 日 1
笫	竹头 3 5 2 3
第	竹头 弟省
笭	竹头 今 4
笮	竹头 乍
笯	竹头 女 又
笰	竹头 弗
笱	竹头 句
笲	竹头 厶 廾
笳	竹头 力 口
笴	竹头 可
笵	竹头 氵 㔾
笶	竹头 矢
笷	竹头 卯
笸	竹头 匚 口
笹	竹头 廿 5
笺	竹头 1 戈
笻	竹头 工 卩
笼	竹头 龙
笽	竹头 皿
笾	竹头 力 辶
笿	竹头 各
筀	竹头 土 土
筁	竹头 曲
筂	竹头 氵 也
筃	竹头 囗 大
筄	竹头 儿 率字腰
筅	竹头 告字头 儿
筆	竹头 聿
筇	竹头 工 阝
筈	竹头 舌
等	竹头 土 寸
筊	竹头 六 乂
筋	竹头 月 力
筌	竹头 全字头 王
筍	竹头 勹 日
筎	竹头 女 口
筏	竹头 亻 戈
筐	竹头 匚 王
筑	竹头 工 几 4
筒	竹头 冂 同字心
筓	竹头 1 左字框 干
答	竹头 亼 口
筕	竹头 彳 亍
策	竹头 木框 冂
筗	竹头 亻 口 2
筘	竹头 扌 口
筙	竹头 耒
筚	竹头 比字旁 匕 十
筛	竹头 师字旁 1 巾
筜	竹头 尚字头 彐
筝	竹头 负字头 争字底
筞	竹头 宀 木
筟	竹头 爫 子
筠	竹头 土 勹 冫
筡	竹头 全字头 余字底
筢	竹头 扌 巴
筣	竹头 禾 刂
筤	竹头 4 艮
筥	竹头 口 口
筦	竹头 宀 二 儿
筧	竹头 目 儿
筨	竹头 今 口
筩	竹头 龴 甬字底
筪	竹头 匚 甲
筫	竹头 目 八
筬	竹头 戊 5
筭	竹头 王 廾
筮	竹头 工 人 人
筯	竹头 且 力
筰	竹头 亻 乍
筱	竹头 亻 2 攵
筲	竹头 尚字头 青字底
筳	竹头 壬 廴
筴	竹头 大 人 人
筵	竹头 3 延字心无撇 廴
筶	竹头 告字头 口
筷	竹头 忄 候右角 人
筸	竹头 日 干
筹	竹头 寿字头 寸
筺	竹头 匚 斜玉 4
筻	竹头 1 日 乂
筼	竹头 口 贝
筽	竹头 口 1 大
签	竹头 亼 应字心
筿	竹头 夂 朩
简	竹头 门 日
箁	竹头 立 口
箂	竹头 木框 人 人
箃	竹头 耳 又
箄	竹头 白 3 十
箅	竹头 田 丌
箆	竹头 见二 人 比字旁 匕
箇	竹头 囗 古
箈	竹头 氵 厶 口
箉	竹头 扌 口 力
箊	竹头 方 全字头 冬字底
箋	竹头 戈 戈
箌	竹头 至 刂
箍	竹头 扌 匚 巾
箎	竹头 虎
箏	竹头 爫 争字底
箐	竹头 龶 青字底
箑	竹头 1 聿三 龰
箒	竹头 彐 冖 巾
箓	竹头 录字头 氺
箔	竹头 氵 白
箕	竹头 其
箖	竹头 木 木
算	竹头 目 廾
箘	竹头 囗 禾
箙	竹头 月 卩 又
箚	竹头 亼 口 刂
箛	竹头 子 瓜
箜	竹头 穴 工
箝	竹头 扌 甘
箞	竹头 龹 㔾
箟	竹头 日 比字旁 匕
箠	竹头 垂
管	竹头 宀 㠯
箢	竹头 宀 夕 㔾
箣	竹头 木框 冂 刂
箤	竹头 亠 人 人 十
箥	竹头 氵 皮
箦	竹头 龶 贝
箧	竹头 匚 夫 丷
箨	竹头 扌 又 举字底
箩	竹头 罒 夕
箪	竹头 丷 日 十
箫	竹头 肀 乔字底 八
箬	竹头 艹 左字框 口
箭	竹头 䒑 青字底 刂
箮	竹头 宀 1 日 1
箯	竹头 亻 1 日 乂
箰	竹头 勹 日 子
箱	竹头 木 目
箲	竹头 氵 告字头 儿
箳	竹头 尸 䒑 廾
箴	竹头 戊 同字心
箵	竹头 少三 3 目
箶	竹头 古 月
箷	竹头 方 卧人 也
箸	竹头 者
箹	竹头 幺 横三点 勹 4
箺	竹头 春字头 日
箻	竹头 彳 聿
箼	竹头 尸 至
箽	竹头 千 里
箾	竹头 尚字头 青字底 刂
箿	竹头 口 耳
節	竹头 即字旁 卩
篁	竹头 白 王
篂	竹头 日 生
篃	竹头 眉字框 目
範	竹头 1 日 十 㔾
篅	竹头 山 而
篆	竹头 彑 豕省
篇	竹头 户 扁字心
篈	竹头 土 土 寸
築	竹头 工 几 4 木
篊	竹头 氵 共
篋	竹头 匚 大 人 人
篌	竹头 亻 候右角 矢
篍	竹头 禾 火
篎	竹头 目 少三 3
篏	竹头 甘 欠
篐	竹头 木 匚 巾
篑	竹头 贵字头 贝
篒	竹头 食
篓	竹头 米 女
篔	竹头 口 目 八
篕	竹头 土 厶 皿
篖	竹头 广 肀 口
篗	竹头 隹 又
篘	竹头 勹 䶹 勹 䶹
篙	竹头 高
篚	竹头 匚 非
篛	竹头 弓 冫 弓 冫
篜	竹头 了 水字框 1 灬
篝	竹头 1 龷 冂 里无日
篞	竹头 氵 日 土
篟	竹头 亻 龶 青字底
篠	竹头 亻 2 夂 朩
篡	竹头 目 大 厶
篢	竹头 工 目 八
篣	竹头 立无横 冖 方
篤	竹头 1 2 举字底 5 灬
篥	竹头 覀 木
篦	竹头 囱字框 乂 比字旁 匕
篧	竹头 冖 隹
篨	竹头 阝 全字头 余字底
篩	竹头 3 㠯 1 巾
篪	竹头 反字框 虎
篫	竹头 工 几 4 手
篬	竹头 全字头 4 尸 1 口
篭	竹头 立 日 5
篮	竹头 临字旁 临右角 皿
篯	竹头 钅 1 戈
篰	竹头 立 口 阝
篱	竹头 亠 乂 凵 禸
篲	竹头 丰 丰 彐
篳	竹头 日 龷 十
篴	竹头 豕 辶
篵	竹头 彳 人 人 龰
篶	竹头 1 止 与无横 灬
篷	竹头 夂 丰 辶
篸	竹头 厶 厶 厶 全字头 彡
篹	竹头 目 大变 㔾
篺	竹头 扌 白 3 十
篻	竹头 覀 示
篼	竹头 白 卬字旁 叚右角 儿
篽	竹头 彳 卸字旁 卩
篾	竹头 罒 戊 4
篿	竹头 1 日 虫无口 寸
簀	竹头 龶 目 八
簁	竹头 彳 止 龰
簂	竹头 囗 戈 口 1
簃	竹头 禾 夕 夕
簄	竹头 户 口 巴
簅	竹头 立无横 厂 生
簆	竹头 宀 二 儿 卢字头 又
簇	竹头 方 卧人 矢
簈	竹头 尸 3 1 左字框 3 干
簉	竹头 告字头 口 辶
簊	竹头 其 土
簋	竹头 艮 皿
簌	竹头 束 欠
簍	竹头 口 十 口 女
簎	竹头 扌 龷 日
簏	竹头 鹿
簐	竹头 1 日 十 欠
簑	竹头 享字头 1 衣省
簒	竹头 目 大变 3 厶
簓	竹头 周字框 土 口 彡
簔	竹头 亠 1 龷 衣省
簕	竹头 革 力
簖	竹头 米 5 斤
簗	竹头 氵 刀 横两点 木
簘	竹头 肀 乔字底 米
簙	竹头 十 甫 寸
簚	竹头 罒 戈 巾
簛	竹头 其 斤
簜	竹头 氵 日 1 勿
簝	竹头 大变 丷 日 小
簞	竹头 口 口 日 十
簟	竹头 覀 早
簠	竹头 甫 皿
簡	竹头 见二 二 冂 二 日
簢	竹头 见二 二 冂 二 文
簣	竹头 贵字头 目 八
簤	竹头 罒 目 八
簥	竹头 3 大 口 冂 口
簦	竹头 癶 同字心 䒑
簧	竹头 龷 由 八
簨	竹头 巳 巳 共
簩	竹头 火 火 冖 力
簪	竹头 旡 旡 日
簫	竹头 肀 乔字底 2 1 5 1 5 1 2
簬	竹头 足旁 各
簭	竹头 工 人 人 八 口
簮	竹头 夫 夫 日
簯	竹头 木 其
簰	竹头 片 白 3 十
簱	竹头 方 其
簲	竹头 月 白 3 十
簳	竹头 十 早 全字头 干
簴	竹头 虍 业 八
簵	竹头 1 日 十 各
簶	竹头 礻 录字头 氺
簷	竹头 负字头 厂 八 言
簸	竹头 其 皮
簹	竹头 尚头 田
簺	竹头 宀 寒字腰带八 土
簻	竹头 见二 5 冂 口 辶
簼	竹头 扌 1 龷 冂 里无日
簽	竹头 亼 口 口 人 人
簾	竹头 广 兼
簿	竹头 氵 甫 寸
籀	竹头 扌 留字头 田
籁	竹头 束 负字头 贝
籂	竹头 飠 卧人 巾
籃	竹头 臣 临右角 皿
籄	竹头 匚 贵字头 目 八
籅	竹头 臼裂 1 与无横 2 八
籆	竹头 艹 隹 又
籇	竹头 享字头 冖 豕
籈	竹头 覀 土 瓦
籉	竹头 士 口 冖 至
籊	竹头 羽 隹
籋	竹头 1 八 巾 乂 乂 乂 乂
籌	竹头 士 5 工 1 口 寸
籍	竹头 耒 龷 日
籎	竹头 匕 矢 龴 疋
籏	竹头 方 卧人 其
籐	竹头 月 龹 氺
籑	竹头 目 大 4 艮
籒	竹头 扌 1 临字旁 匚 叚右角 田
籓	竹头 氵 3 米 田
籔	竹头 口 十 口 女 攵
籕	竹头 木 留字头 田
籖	竹头 十 戈 非 1
籗	竹头 雨头 隹
籘	竹头 月 龹 糸
籙	竹头 金 录字头 氺
籚	竹头 虍 田 皿
籛	竹头 金 戈 戈
籜	竹头 扌 罒 土 南字心
籝	竹头 赢字框 女
籞	竹头 彳 卸字旁 卩 示
籟	竹头 束 负字头 目 八
籠	竹头 立 青字底 1 5 1 5 三
籡	竹头 扌 亼 口 口 人 人
籢	竹头 亼 口 口 人 人 攵
籣	竹头 见二 二 冂 二 束 丷
籤	竹头 人 人 戈 非 1
籥	竹头 亼 口 口 口 扁字心
籦	竹头 金 千 里
籧	竹头 虍 豕 辶
籨	竹头 亼 口 口 人 人 欠
籩	竹头 自 穴 方 辶
籪	竹头 幺 幺 1 幺 幺 5 斤
籫	竹头 告字头 儿 告字头 儿 目 八
籬	竹头 亠 乂 凵 禸 隹
籭	竹头 1 丽下角 1 丽下角 鹿
籮	竹头 罒 幺 横三点 隹
籯	竹头 赢字框 目 八
籰	竹头 目 目 隹 又
籱	竹头 雨头 隹 隹
籲	竹头 亼 口 口 口 扁字心 1 3 目 八
米	米
籴	入 米
籵	米 十
籶	米 几
籷	米 3 七
籸	米 5 十
籹	米 女
籺	米 卧人 6
类	米 大
籼	米 山
籽	米 子
籾	米 刀 4
籿	米 寸
粀	米 左字框 4
粁	米 千
粂	久二 4 米
粃	米 比字旁 匕
粄	米 反字框 又
粅	米 勿
粆	米 少三 3
粇	米 亠 几
粈	米 5 里无日
粉	米 八 刀
粊	比字旁 匕 米
粋	米 九 十
粌	米 弓 2
粍	米 毛
粎	米 尸 4
粏	米 大 4
粐	米 户
粑	米 巴
粒	米 立
粓	米 甘
粔	米 匚 叚右角
粕	米 白
粖	米 1 木
粗	米 且
粘	米 卢字头 口
粙	米 由
粚	米 卧人 也
粛	肀 乔字底 米
粜	屮 凵 米
粝	米 厂 1 万无横
粞	米 西
粟	覀 米
粠	米 共
粡	米 冂 同字心
粢	冫 欠 米
粣	米 册
粤	囱字框 米 1 5
粥	弓 米 弓
粦	米 夕 㐄
粧	米 广 土
粨	米 1 白
粩	米 老
粪	米 共
粫	米 而
粬	米 曲
粭	米 亼 口
粮	米 4 艮
粯	米 目 儿
粰	米 爫 子
粱	氵 刀 横两点 米
粲	歺 又 米
粳	米 1 日 乂
粴	米 里
粵	囱字框 3 米 1 5
粶	米 录字头 氺
粷	米 勹 米
粸	米 其
粹	米 亠 人 人 十
粺	米 白 3 十
粻	米 1 2 三 畏字底
粼	米 夕 㐄 5 5
粽	米 宀 示
精	米 龶 青字底
粿	米 日 木
糀	米 艹 亻 化字边
糁	米 厶 大 彡
糂	米 其 5
糃	米 日 1 勿
糄	米 户 扁字心
糅	米 予 3 木
糆	米 面
糇	米 亻 候右角 矢
糈	米 疋 青字底
糉	米 乂 凵 八 夂
糊	米 古 月
糋	米 䒑 青字底 刂
糌	米 夂 卜 日
糍	米 䒑 幺 幺
糎	米 厂 里
糏	米 尸 尚字头 青字底
糐	米 甫 寸
糑	米 弓 冫 弓 冫
糒	米 龷 3 甬字底
糓	壳字头 1 米 殳
糔	米 又 4 虫
糕	米 美字头 灬
糖	米 广 肀 口
糗	米 自 犬
糘	米 宀 豕
糙	米 告字头 口 辶
糚	米 艹 爿 士
糛	米 尚头 土
糜	麻 米
糝	米 厶 厶 厶 全字头 彡
糞	米 田 共
糟	米 1 曲 日
糠	米 广 隶字框 率字腰
糡	米 音 儿
糢	米 艹 日 大
糣	米 旡 旡 日
糤	米 龷 青字底 攵
糥	米 而 而
糦	米 壴 口
糧	米 日 1 里
糨	米 弓 口 虫
糩	米 亼 曾字头无丷 日
糪	尸 口 辛 米
糫	米 罒 同字心 衣省
糬	米 罒 者
糭	米 乂 4 横两点 4 凵 傻下角
糮	米 臣 临右角 皿
糯	米 雨头 而
糰	米 囗 1 日 虫无口 寸
糱	䶹 3 㠯 辛 米
糲	米 厂 艹 日 禺下
糳	业 南字心 臼 殳 米
糴	入 米 羽 隹
糵	艹 3 㠯 辛 米
糶	屮 凵 米 羽 隹
糷	米 艹 见二 二 冂 二 束 丷
糸	糸
糹	幺 横三点
糺	幺 横三点 5
系	3 糸
糼	幺 横三点 力
糽	幺 横三点 丁
糾	幺 横三点 丩
糿	幺 横三点 刀
紀	幺 横三点 己
紁	幺 横三点 又 4
紂	幺 横三点 寸
紃	幺 横三点 川
約	幺 横三点 勹 4
紅	幺 横三点 工
紆	幺 横三点 1 于无横
紇	幺 横三点 卧人 6
紈	幺 横三点 丸
紉	幺 横三点 刀 4
紊	文 糸
紋	幺 横三点 文
紌	幺 横三点 尤
納	幺 横三点 冂 人
紎	幺 横三点 犬
紏	幺 横三点 冬字底 十
紐	幺 横三点 5 里无日
紑	幺 横三点 不
紒	幺 横三点 全字头 乔字底
紓	幺 横三点 予
純	幺 横三点 1 屯无横
紕	幺 横三点 比字旁 匕
紖	幺 横三点 弓 2
紗	幺 横三点 少三 3
紘	幺 横三点 左字框 厶
紙	幺 横三点 氏
級	幺 横三点 及
紛	幺 横三点 八 刀
紜	幺 横三点 云
紝	幺 横三点 壬
紞	幺 横三点 冖 儿
紟	幺 横三点 今
素	龶 糸
紡	幺 横三点 方
索	十 冖 糸
紣	幺 横三点 九 十
紤	幺 横三点 斤
紥	扌 5 糸
紦	幺 横三点 巴
紧	临字旁 又 糸
紨	幺 横三点 亻 寸
紩	幺 横三点 3 夫
紪	幺 横三点 止 匕
紫	止 匕 糸
紬	幺 横三点 由
紭	幺 横三点 弓 厶
紮	木 5 糸
累	田 糸
細	幺 横三点 田
紱	幺 横三点 左字框 又 4
紲	幺 横三点 廿 5
紳	幺 横三点 日 2
紴	幺 横三点 皮
紵	幺 横三点 宀 丁
紶	幺 横三点 土 厶
紷	幺 横三点 今 4
紸	幺 横三点 4 斜玉
紹	幺 横三点 刀 口
紺	幺 横三点 甘
紻	幺 横三点 见二 大
紼	幺 横三点 弗
紽	幺 横三点 宀 匕
紾	幺 横三点 全字头 彡
紿	幺 横三点 厶 口
絀	幺 横三点 屮 凵
絁	幺 横三点 卧人 也
終	幺 横三点 夂 冬字底
絃	幺 横三点 亠 幺
組	幺 横三点 且
絅	幺 横三点 冂 口
絆	幺 横三点 丷 举字底
絇	幺 横三点 句
絈	幺 横三点 白
絉	幺 横三点 木 4
絊	幺 横三点 木 1
絋	幺 横三点 广 厶
経	幺 横三点 又 土
絍	幺 横三点 亻 壬
絎	幺 横三点 彳 亍
絏	幺 横三点 日 5 3
結	幺 横三点 士 口
絑	幺 横三点 3 未
絒	幺 横三点 横三点 川
絓	幺 横三点 土 土
絔	幺 横三点 1 白
絕	幺 横三点 刀 巴
絖	幺 横三点 光
絗	幺 横三点 囗 口
絘	幺 横三点 冫 欠
絙	幺 横三点 1 日 1
絚	幺 横三点 1 2 候右角 冬字底
絛	亻 2 夂 糸
絜	丰 刀 糸
絝	幺 横三点 大 二 5
絞	幺 横三点 六 乂
絟	幺 横三点 全字头 王
絠	幺 横三点 左字框 青字底
絡	幺 横三点 各
絢	幺 横三点 勹 日
絣	幺 横三点 䒑 廾
絤	幺 横三点 西
絥	幺 横三点 亻 犬
給	幺 横三点 亼 口
絧	幺 横三点 冂 同字心
絨	幺 横三点 戈 左字框
絩	幺 横三点 儿 率字腰
絪	幺 横三点 囗 大
絫	厶 厶 厶 糸
絬	幺 横三点 舌
絭	龹 糸
絮	女 口 糸
絯	幺 横三点 亥
絰	幺 横三点 至
統	幺 横三点 充字头 儿
絲	幺 横三点 糸
絳	幺 横三点 夂 㐄
絴	幺 横三点 羊
絵	幺 横三点 全字头 云
絶	幺 横三点 负字头 巴
絷	扌 丸 糸
絸	幺 横三点 目 儿
絹	幺 横三点 口 青字底
絺	幺 横三点 乂 左字框 巾
絻	幺 横三点 负字头 口 儿
絼	幺 横三点 豸
絽	幺 横三点 口 口
絾	幺 横三点 戊 5
絿	幺 横三点 于无横 率字腰 4
綀	幺 横三点 束
綁	幺 横三点 寿字头 阝
綂	幺 横三点 亠 口 儿
綃	幺 横三点 尚字头 青字底
綄	幺 横三点 宀 二 儿
綅	幺 横三点 彐 冖 又
綆	幺 横三点 1 日 乂
綇	幺 横三点 酉
綈	幺 横三点 丷 弟省
綉	幺 横三点 禾 乃
綊	幺 横三点 大 人 人
綋	幺 横三点 宀 左字框 厶
綌	幺 横三点 谷
綍	幺 横三点 十 冖 子
綎	幺 横三点 壬 廴
綏	幺 横三点 爫 女
綐	幺 横三点 丷 口 儿
綑	幺 横三点 囗 木
綒	幺 横三点 爫 子
經	幺 横三点 1 巛 工
綔	大 二 5 3 糸
綕	幺 横三点 士 心
綖	幺 横三点 3 延字心无撇 廴
綗	幺 横三点 冂 八 口
綘	幺 横三点 夂 丰
継	幺 横三点 米 5
続	幺 横三点 壳字头 儿
綛	幺 横三点 刀 4 心
綜	幺 横三点 宀 示
綝	幺 横三点 木 木
綞	幺 横三点 垂
綟	幺 横三点 户 犬
綠	幺 横三点 彑 氺
綡	幺 横三点 享字头 小
綢	幺 横三点 周字框 土 口
綣	幺 横三点 龹 㔾
綤	刀 口 阝 糸
綥	幺 横三点 田 丌
綦	其 糸
綧	幺 横三点 享字头 子
綨	幺 横三点 其
綩	幺 横三点 宀 夕 㔾
綪	幺 横三点 龶 青字底
綫	幺 横三点 戈 戈
綬	幺 横三点 爫 冖 又
維	幺 横三点 隹
綮	户 攵 糸
綯	幺 横三点 勹 缶
綰	幺 横三点 宀 㠯
綱	幺 横三点 冂 䒑 山
網	幺 横三点 冂 䒑 亡
綳	幺 横三点 月 月
綴	幺 横三点 又 又 又 又
綵	幺 横三点 爫 木
綶	幺 横三点 日 木
綷	幺 横三点 亠 人 人 十
綸	幺 横三点 亼 扁字心
綹	幺 横三点 夂 卜 口
綺	幺 横三点 大 可
綻	幺 横三点 宀 定字底
綼	幺 横三点 白 3 十
綽	幺 横三点 卢字头 早
綾	幺 横三点 土 傻下角
綿	幺 横三点 白 巾
緀	幺 横三点 1 妻字头无横 女
緁	幺 横三点 1 聿三 龰
緂	幺 横三点 火 火
緃	幺 横三点 人 人 龰
緄	幺 横三点 日 比字旁 匕
